# A2LA Laboratory PIDs Collected via Web Search
# Format: accreditationPID | Certificate Number | Lab Type

# Original materials testing
E44978E7-CD6E-4BF0-8BB9-0A7F8DD74E17|1720.03|Element Materials - Electrical
77917E06-92F9-44A7-9B08-AE3073409575|2561.03|Medical Device Testing
2548EA93-6CD5-4CDB-B794-265A47675446|5580.01|Building Products Testing
A10F1CF1-37CC-4599-9BAA-735E28EAA330|3210.02|Composite Materials
13AE1E37-EF52-47AA-9BB4-048022563882|1719.06|Element Materials - Aerospace
48432716-9AD7-4583-AC9F-133DE39A997C|0078.07|Automotive Components
6EC90935-3F47-4795-8AD3-EE8F7C4A1DFA|0078.01|Automotive
D202CB1E-40E1-4D98-ADCA-C2F16AD791B9|3140.01|Composite Materials
3E89A197-F258-4B8C-B334-8183DCF06F9B|1719.01|Element Materials
11FE2BD5-8663-412B-A881-43F3F86414B8|2815.02|Toys Testing
916692AF-1CC0-40F2-B4C7-C78CF852FED0|2455.01|Paints Coatings

# Mechanical testing
B0A99F44-366F-4A35-A984-7E605DC2A91D||Mechanical
B1F22CC3-99DE-4FC7-A5DD-227C58EDBC1A|6056.01|Electrical Mechanical
9C663F8F-5CF9-478A-9EDC-2AC7567287C3|4784.01|Mechanical Components
42653955-6E26-43AF-BEF1-02DD1FF1CFED|1123.07|Vibration Testing
C07D8434-6F2D-4B60-923C-7B14CBAF9BC6|3003.01|Mechanical
1106BCD8-2659-41F2-996B-E6A4BF0E302B|2310.02|Intertek - Mechanical
17806F1C-4EFA-484D-A34C-0C4438CE34EA|1176.02|Mechanical

# Metallurgy
DB3FFACC-C7E6-455B-B4E0-F87D694F8B50|0161.02|Tensile Testing Metallurgical
2A071EB3-2725-487F-B02F-2D03E2C2F339|1252.01|Metal Plating
2A2DB179-49C9-4810-9B40-7B4A469CD55E||Metallurgy
1E6C92C1-E5BA-4FC9-8C30-0287C8B288AD|4267.02|Metallurgy
AD1ABAF0-8C2A-4931-A619-598D6F4BD810|0603.01|Composites Metals
32EFE4AF-B60E-43E2-B800-41AC00FFA223|7148.02|Metallurgy
34123416-071F-4049-9ACC-B4E7EEB41237||Metallurgy

# Chemical analysis
1D5CD78D-2A8B-4EC2-AFA8-B9C80F0AACAF|3873.01|Chemical Petroleum Water
BC1A7982-7919-473B-8D78-4D9CE11F51F6|0098.01|Chemical Metal Analysis
12A618F6-8114-4994-A522-26D9F1AA0986|0363.01|Adhesives Plastics
4F2D1698-48D6-4E25-868E-7A98D7894A7B|2927.01|Food Microbiological Chemical
A2DD8B53-2BE6-440D-BB9C-06197262AF88|3331.09|Chemical
07745F0D-416C-4BB1-9CAC-3588866196F3|4356.02|Cannabis Testing
24D14D45-A41B-4FEE-82FE-FEE26EC5ECFA|3329.11|Chemical
2512670B-7B0D-4353-8724-5C9A1F7CF6D9|1873.01|Chemical
50A94EAA-85FB-4DA4-A406-6B9C540CBEA3|3562.01|Chemical

# Environmental
E05C2ADD-9FB9-4E4C-B009-F946AC591FE6|3819.01|Pace Analytical Environmental
E29B82D6-20E9-4B03-8F27-20E07A2545B9|1109.06|Environmental
E0877E3D-8FC8-44CD-AA1F-A7586F9F733D||Environmental
12B5296B-1C26-4A2B-9834-86DED1337C27|0214.27|Environmental
4D122B72-43F0-43B5-BE91-2AE14F64F095|3329.08|Environmental
920B0A4F-8FC9-4539-90E3-B0D4E4864489|1627.02|Bureau Veritas Environmental
E4C21119-F7C2-4291-89B7-B87ED3712040|1885.02|Environmental

# Petroleum
8A7A6CF4-B1FC-4663-BDB5-9D658B74E32E|2705.01|Paragon - Petroleum
746F757A-985A-4116-A52E-AE5E2DE96A54||Petroleum
6976500C-3FCC-44A5-AB51-E146E6A7493C|2387.01|Petroleum
F2A38E55-30E1-4972-9636-5CBFD7676FF2|2778.01|Petroleum
64717142-E201-4DDD-B974-DFBA39444EEF|2343.01|Petroleum
C1F25E83-11B9-4223-933B-28B2365EC4EC|4795.01|Petroleum

# Construction materials
6E87B53D-E905-4B05-A324-56579DABC4F7||Construction
031C4AF0-B0DA-4AD7-BCDE-940DEECDE25E|6754.03|Fire Resistance Construction
850F359C-A1CF-4CCC-9539-4B4075B6FB8C|0078.02|Construction
2B874E91-662F-456E-8863-A0BF6274D308|5742.01|Construction
6B1E7DD3-049B-466E-BE4E-B3FE2435C062|0023.03|Geotechnical Engineering

# Nondestructive testing
CE8A8F0D-164C-4F87-B31C-4F9814D50DCE|1888.04|Nondestructive Testing
B1926234-4ACE-4983-AF20-E94192D6F8CC|1197.01|Nondestructive
73056B58-28C7-49AE-8BEA-750F3A19EA07|4024.01|Nondestructive
8DA9ABB8-81D7-4645-A38C-18AEEAE448F9|5107.02|Nondestructive

# Calibration
130248C5-EBD2-4BA1-8A85-DD99BC51104F|4950.01|RF Microwave Calibration
B5C36668-5161-4563-8D46-5F84F0B6B924|3144.01|Electrical RF Calibration
30DFB9B1-A082-4723-8233-10231C50C964||Calibration
77DA5554-27EC-4936-AB61-DE76DE61B9D1|2250.01|Multi-discipline Calibration
E521CFA6-FAE4-4643-B5CF-0DB86AA45C67|5827.01|Electrical Fluid Calibration
495FC386-B243-4F51-8577-2B5FC915CE5A||Calibration
26F78324-8532-4144-A161-F097DE0DE5E1|1032.01|Dimensional Calibration
09A84789-6D1A-4C35-B656-96FDBD68C0C6|1621.01|Calibration
